time,arrived,angle,gx,gy,qa,qb,qc,qd,x,y,z,xn,yn
2017-01-31 22:15:33.553678336,0.0,-0.0268848069562,0.0623360015452,-0.25008559227,0.998981773853,0.0428745187819,0.00419583078474,-0.0134012680501,0.0617974102497,-0.238771602511,0.846766293049,-0.326124757528,-2.94375245273
2017-01-31 22:15:33.553220864,0.0,-0.0268848069562,0.0623360015452,-0.25008559227,0.998969614506,0.0429693646729,0.00513635249808,-0.013674701564,0.0623360015452,-0.25008559227,0.846808314323,-0.325586166233,-2.95506644249
2017-01-31 22:15:33.561779200,0.0,-0.0263761985182,0.0624829381704,-0.261417239904,0.998969614506,0.0429693646729,0.00513635249808,-0.013674701564,0.0623360015452,-0.25008559227,0.846808314323,-0.325586166233,-2.95506644249
2017-01-31 22:15:33.561422592,0.0,-0.0263761985182,0.0624829381704,-0.261417239904,0.99896979332,0.0429265536368,0.0059665790759,-0.0134554291144,0.0624829381704,-0.261417239904,0.846900522709,-0.325439229608,-2.96639809012
2017-01-31 22:15:33.569865216,0.0,-0.0271139892505,0.0631715878844,-0.272839903831,0.99896979332,0.0429265536368,0.0059665790759,-0.0134554291144,0.0624829381704,-0.261417239904,0.846900522709,-0.325439229608,-2.96639809012
2017-01-31 22:15:33.569711360,0.0,-0.0271139892505,0.0631715878844,-0.272839903831,0.998934805393,0.0433486662805,0.00755434343591,-0.0138958059251,0.0631715878844,-0.272839903831,0.846715331078,-0.324750579894,-2.97782075405
2017-01-31 22:15:33.578842880,0.0,-0.0259012468593,0.0634354501963,-0.284165292978,0.998934805393,0.0433486662805,0.00755434343591,-0.0138958059251,0.0631715878844,-0.272839903831,0.846715331078,-0.324750579894,-2.97782075405
2017-01-31 22:15:33.578629888,0.0,-0.0259012468593,0.0634354501963,-0.284165292978,0.998965501785,0.0429561771452,0.00685484940186,-0.0132559221238,0.0634354501963,-0.284165292978,0.847104549408,-0.324486717582,-2.9891461432
2017-01-31 22:15:33.586532608,0.0,-0.0259012468593,0.0634354501963,-0.284165292978,0.998955070972,0.0428542271256,0.00729875685647,-0.0141069786623,0.0639069452882,-0.295590102673,0.847229599953,-0.32401522249,-3.00057095289
2017-01-31 22:15:33.586930432,0.0,-0.0275658383954,0.0639069452882,-0.295590102673,0.998955070972,0.0428542271256,0.00729875685647,-0.0141069786623,0.0639069452882,-0.295590102673,0.847229599953,-0.32401522249,-3.00057095289
2017-01-31 22:15:33.594851584,0.0,-0.025872369536,0.0642403364182,-0.306845486164,0.998955070972,0.0428542271256,0.00729875685647,-0.0141069786623,0.0639069452882,-0.295590102673,0.847229599953,-0.32401522249,-3.00057095289
2017-01-31 22:15:33.594702336,0.0,-0.025872369536,0.0642403364182,-0.306845486164,0.998954713345,0.0430627241731,0.00767057714984,-0.0132771823555,0.0642403364182,-0.306845486164,0.847306549549,-0.32368183136,-3.01182633638
2017-01-31 22:15:33.601434880,0.0,-0.025872369536,0.0642403364182,-0.306845486164,0.998954713345,0.0430627241731,0.00767057714984,-0.0132771823555,0.0642403364182,-0.306845486164,0.847306549549,-0.32368183136,-3.01182633638
2017-01-31 22:15:33.603784960,0.0,-0.0270885269121,0.0648217871785,-0.318323642015,0.998954713345,0.0430627241731,0.00767057714984,-0.0132771823555,0.0642403364182,-0.306845486164,0.847306549549,-0.32368183136,-3.01182633638
2017-01-31 22:15:33.603603712,0.0,-0.0270885269121,0.0648217871785,-0.318323642015,0.998943865299,0.0430079549551,0.00824676454067,-0.0139098595828,0.0648217871785,-0.318323642015,0.847432613373,-0.323100380599,-3.02330449224
2017-01-31 22:15:33.611997696,0.0,-0.0259808717363,0.0653024613857,-0.329704493284,0.998943865299,0.0430079549551,0.00824676454067,-0.0139098595828,0.0648217871785,-0.318323642015,0.847432613373,-0.323100380599,-3.02330449224
2017-01-31 22:15:33.611590400,0.0,-0.0259808717363,0.0653024613857,-0.329704493284,0.998955190182,0.0428795218468,0.00844346825033,-0.0133628798649,0.0653024613857,-0.329704493284,0.847577273846,-0.322619706392,-3.0346853435
2017-01-31 22:15:33.620167680,0.0,-0.0282928805427,0.0658069625497,-0.341290235519,0.998955190182,0.0428795218468,0.00844346825033,-0.0133628798649,0.0653024613857,-0.329704493284,0.847577273846,-0.322619706392,-3.0346853435
2017-01-31 22:15:33.619982592,0.0,-0.0282928805427,0.0658069625497,-0.341290235519,0.998969614506,0.0422792546451,0.00788327213377,-0.014490744099,0.0658069625497,-0.341290235519,0.847827553749,-0.322115205228,-3.04627108574
2017-01-31 22:15:33.628257536,0.0,-0.0273435144202,0.0663083121181,-0.35253688693,0.998969614506,0.0422792546451,0.00788327213377,-0.014490744099,0.0658069625497,-0.341290235519,0.847827553749,-0.322115205228,-3.04627108574
2017-01-31 22:15:33.627998208,0.0,-0.0273435144202,0.0663083121181,-0.35253688693,0.998974919319,0.0425420179963,0.00664867274463,-0.0139657855034,0.0663083121181,-0.35253688693,0.848129808903,-0.32161385566,-3.05751773715
2017-01-31 22:15:33.636795392,0.0,-0.0285309065415,0.0669137835503,-0.364105969667,0.998974919319,0.0425420179963,0.00664867274463,-0.0139657855034,0.0663083121181,-0.35253688693,0.848129808903,-0.32161385566,-3.05751773715
2017-01-31 22:15:33.636652032,0.0,-0.0285309065415,0.0669137835503,-0.364105969667,0.998984217644,0.042189989239,0.00625466788188,-0.0145408296958,0.0669137835503,-0.364105969667,0.848240792751,-0.321008384228,-3.06908681989
2017-01-31 22:15:33.650838016,0.0,-0.0270908324356,0.0675332024693,-0.375538557768,0.998984217644,0.042189989239,0.00625466788188,-0.0145408296958,0.0669137835503,-0.364105969667,0.848240792751,-0.321008384228,-3.06908681989
2017-01-31 22:15:33.648350464,0.0,-0.0270908324356,0.0675332024693,-0.375538557768,0.999012768269,0.0419134236872,0.00521547952667,-0.0137750525028,0.0675332024693,-0.375538557768,0.848533272743,-0.320388965309,-3.08051940799
2017-01-31 22:15:33.653324800,0.0,-0.02871961093,0.0681407377124,-0.387110233307,0.999012768269,0.0419134236872,0.00521547952667,-0.0137750525028,0.0675332024693,-0.375538557768,0.848533272743,-0.320388965309,-3.08051940799
2017-01-31 22:15:33.653111040,0.0,-0.02871961093,0.0681407377124,-0.387110233307,0.9990041852,0.0419348664582,0.00448649423197,-0.0145597262308,0.0681407377124,-0.387110233307,0.84871506691,-0.319781430066,-3.09209108353
